ID,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,ACUSADO,FECHA_y,AAAA_y,MM_y,DD_y,ROL,VICTIMA_y,SEXO,EDAD
2016-0001,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47533969,-34.68757022,AUTO,1/1/2016,2016,1,1,CONDUCTOR,MOTO,MASCULINO,19
2016-0002,1,AV GRAL PAZ  Y AV DE LOS CORRALES,GRAL PAZ,9,-58.50877521,-34.66977709,PASAJEROS,1/2/2016,2016,1,2,CONDUCTOR,AUTO,MASCULINO,70
2016-0003,7,AV ENTRE RIOS 2034,AVENIDA,1,-58.39040293,-34.63189362,AUTO,1/3/2016,2016,1,3,CONDUCTOR,MOTO,MASCULINO,30
2016-0004,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,8,-58.46503904,-34.68092974,AUTO,1/10/2016,2016,1,10,CONDUCTOR,MOTO,MASCULINO,18
2016-0005,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,1,-58.38718297,-34.6224663,PASAJEROS,1/21/2016,2016,1,21,CONDUCTOR,MOTO,MASCULINO,29
2016-0008,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,8,-58.44451316,-34.68475866,OBJETO FIJO,1/24/2016,2016,1,24,CONDUCTOR,MOTO,MASCULINO,30
2016-0009,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,11,-58.50095869,-34.6082544,AUTO,1/24/2016,2016,1,24,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29
2016-0010,15,AV GENERAL PAZ Y AV DE LOS CORRALES,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO,1/29/2016,2016,1,29,CONDUCTOR,MOTO,MASCULINO,18
2016-0012,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,1,-58.38048577,-34.61303893,CARGAS,2/8/2016,2016,2,8,CONDUCTOR,MOTO,MASCULINO,22
2016-0013,11,AV ENTRE RIOS 1366,AVENIDA,1,-58.39114932,-34.62477387,AUTO,2/10/2016,2016,2,10,PEATON,PEATON,MASCULINO,16
2016-0015,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,15,-58.4376002,-34.59912758,AUTO,2/14/2016,2016,2,14,PEATON,PEATON,FEMENINO,16
2016-0016,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,4,-58.36882665,-34.64291993,AUTO,2/14/2016,2016,2,14,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,19
2016-0017,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,8,-58.44989671,-34.65970435,MOTO,2/15/2016,2016,2,15,PEATON,PEATON,MASCULINO,59
2016-0019,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,9,-58.50990884,-34.65468721,PASAJEROS,2/17/2016,2016,2,17,PEATON,PEATON,FEMENINO,65
2016-0020,16,SUIPACHA 156,CALLE,1,-58.37952223,-34.60653282,AUTO,2/17/2016,2016,2,17,PEATON,PEATON,MASCULINO,59
2016-0021,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,7,-58.45157703,-34.63063795,AUTO,2/17/2016,2016,2,17,CONDUCTOR,AUTO,MASCULINO,34
2016-0022,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,1,-58.38144696,-34.61079875,AUTO,2/21/2016,2016,2,21,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,41
2016-0025,4,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,8,-58.46244952,-34.70524971,AUTO,2/28/2016,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
2016-0026,7,HOLMBERG Y VEDIA,CALLE,12,-58.49216191,-34.54738649,OBJETO FIJO,2/28/2016,2016,2,28,CONDUCTOR,AUTO,MASCULINO,30
2016-0027,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,7,-58.44497874,-34.63852623,AUTO,2/28/2016,2016,2,28,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,34
2016-0028,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,1,-58.38199706,-34.60028648,CARGAS,3/2/2016,2016,3,2,PEATON,PEATON,MASCULINO,50
2016-0029,17,AV CABILDO Y DEHEZA,AVENIDA,12,-58.47378664,-34.54153077,PASAJEROS,3/4/2016,2016,3,4,PEATON,PEATON,MASCULINO,38
2016-0031,12,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,8,-58.47064556,-34.69843756,PASAJEROS,3/8/2016,2016,3,8,CONDUCTOR,MOTO,MASCULINO,21
2016-0034,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-58.40623949,-34.65076549,PASAJEROS,3/12/2016,2016,3,12,PEATON,PEATON,MASCULINO,52
2016-0035,6,AV CORRIENTES Y AV CALLAO,AVENIDA,3,-58.39228965,-34.60443527,PASAJEROS,3/13/2016,2016,3,13,CONDUCTOR,MOTO,MASCULINO,34
2016-0036,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,4,-58.37813396,-34.63668504,PASAJEROS,3/14/2016,2016,3,14,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,36
2016-0037,11,AV. EVA PERON Y QUIRNO,AVENIDA,7,-58.46275892,-34.64358293,MOTO,3/19/2016,2016,3,19,CONDUCTOR,MOTO,MASCULINO,20
2016-0038,8,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,8,-58.49683458,-34.67892743,PASAJEROS,3/21/2016,2016,3,21,PEATON,PEATON,MASCULINO,29
2016-0039,1,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,3,-58.40603217,-34.6088396,PASAJEROS,3/23/2016,2016,3,23,CONDUCTOR,MOTO,MASCULINO,20
2016-0041,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,-58.4607655,-34.63350444,CARGAS,3/29/2016,2016,3,29,CONDUCTOR,MOTO,MASCULINO,54
2016-0041,11,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,7,-58.4607655,-34.63350444,CARGAS,3/29/2016,2016,3,29,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,30
2016-0043,18,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,8,-58.47832463,-34.67494416,CARGAS,3/30/2016,2016,3,30,PEATON,PEATON,FEMENINO,56
2016-0044,19,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,7,-58.43213235,-34.63693953,MULTIPLE,3/31/2016,2016,3,31,CONDUCTOR,MOTO,MASCULINO,24
2016-0045,10,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,13,-58.46743471,-34.53476874,AUTO,4/11/2016,2016,4,11,CONDUCTOR,MOTO,MASCULINO,30
2016-0047,5,LIMA 1483,CALLE,1,-58.38247061,-34.62571878,PASAJEROS,4/15/2016,2016,4,15,PEATON,PEATON,MASCULINO,41
2016-0048,17,AV. CORRIENTES Y AV. DORREGO,AVENIDA,15,-58.44759966,-34.5917024,PASAJEROS,4/15/2016,2016,4,15,PEATON,PEATON,FEMENINO,30
2016-0049,0,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,4,-58.37714647568196,-34.63657525428238,AUTO,4/17/2016,2016,4,17,CONDUCTOR,MOTO,MASCULINO,30
2016-0050,9,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,8,-58.47305463,-34.68550712,PASAJEROS,4/19/2016,2016,4,19,PEATON,PEATON,MASCULINO,78
2016-0051,4,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,4,-58.40623949,-34.65076549,CARGAS,4/20/2016,2016,4,20,CONDUCTOR,MOTO,MASCULINO,36
2016-0052,20,AUTOPISTA LUGONES PK 10000,AUTOPISTA,13,-58.441664463445676,-34.61969973512046,AUTO,4/20/2016,2016,4,20,CONDUCTOR,MOTO,MASCULINO,30
2016-0053,9,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,12,-58.4842918,-34.57558053,PASAJEROS,4/22/2016,2016,4,22,PEATON,PEATON,MASCULINO,38
2016-0054,21,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,8,-58.48695354,-34.68795245,MOTO,4/23/2016,2016,4,23,CONDUCTOR,MOTO,MASCULINO,30
2016-0055,20,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,14,-58.40021959,-34.57964781,CARGAS,4/25/2016,2016,4,25,PEATON,PEATON,MASCULINO,79
2016-0056,4,AV LUIS MARIA CAMPOS 30,AVENIDA,14,-58.42957885,-34.57660058,OBJETO FIJO,4/26/2016,2016,4,26,CONDUCTOR,MOTO,MASCULINO,26
2016-0058,14,LIMA 1471,CALLE,1,-58.38247542,-34.62556293,MOTO,5/4/2016,2016,5,4,PEATON,PEATON,FEMENINO,57
2016-0059,16,PASAJE CIUDADELA Y LIMA OESTE,CALLE,1,-58.38222219,-34.62728101,PASAJEROS,5/8/2016,2016,5,8,PEATON,PEATON,MASCULINO,37
2016-0064,18,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,10,-58.49485242,-34.62953445,PASAJEROS,5/14/2016,2016,5,14,PEATON,PEATON,MASCULINO,20
2016-0065,14,AV GAONA Y ESPINOSA,AVENIDA,6,-58.45227946,-34.61068024,AUTO,5/20/2016,2016,5,20,PEATON,PEATON,MASCULINO,20
2016-0067,17,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,8,-58.48455411,-34.6751276,PASAJEROS,5/21/2016,2016,5,21,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,30
2016-0068,22,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,2,-58.39056593,-34.58418569,PASAJEROS,5/22/2016,2016,5,22,CONDUCTOR,MOTO,MASCULINO,58
2016-0069,3,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,3,-58.39118948,-34.62704273,CARGAS,5/23/2016,2016,5,23,CONDUCTOR,AUTO,MASCULINO,30
2016-0073,15,MAGARIÑOS CERVANTES 3900,CALLE,10,-58.49021952,-34.62025108,CARGAS,6/11/2016,2016,6,11,CONDUCTOR,MOTO,MASCULINO,23
2016-0074,6,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,8,-58.49896559,-34.67732118,AUTO,6/12/2016,2016,6,12,CONDUCTOR,AUTO,MASCULINO,60
2016-0075,23,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,8,-58.47461076,-34.66874679,AUTO,6/12/2016,2016,6,12,PEATON,PEATON,MASCULINO,42
2016-0076,16,AV SAN MARTIN Y CAMARONES,AVENIDA,15,-58.46210891,-34.60356211,PASAJEROS,6/13/2016,2016,6,13,PEATON,PEATON,FEMENINO,53
2016-0077,21,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,1,-58.3702777,-34.60536123,PASAJEROS,6/13/2016,2016,6,13,PEATON,PEATON,FEMENINO,30
